Assignment_ID;ROI_ring;DB_Status;DB_Status_Date_Active;DB_Status_Date_Inactive
AID_20260105T163639266466Z_MQ7GY6QOJJBY;1;Active;05-01-2026 16:37;
AID_20260105T163639341395Z_IY25J4XXSRGE;1;Active;05-01-2026 16:37;
AID_20260105T163639418402Z_XXWLZ5PG3FHB;1;Active;05-01-2026 16:37;
AID_20260105T163639493232Z_WBGLB3LEHZGU;1;Active;05-01-2026 16:37;
AID_20260105T163639569584Z_NTM76IEUG5CA;1;Active;05-01-2026 16:37;
AID_20260105T163639646096Z_UHB2WAOY3NEX;2;Active;05-01-2026 16:37;
AID_20260105T163639719970Z_EH7HQN4R3FAG;2;Active;05-01-2026 16:37;
AID_20260105T163639794136Z_C6ZLSCPPJZDT;1;Active;05-01-2026 16:37;
AID_20260105T163639872314Z_4BVGQYSMPJE2;1;Active;05-01-2026 16:37;
AID_20260105T163639949105Z_K2K4RWYT5BCO;2;Active;05-01-2026 16:37;
AID_20260105T163640080639Z_H62LIRW7ZVC7;0;Active;05-01-2026 16:37;
AID_20260105T163640168150Z_OWSK7B4MIVBP;1;Active;05-01-2026 16:37;
AID_20260105T163640244547Z_AJKPIHIU6NGZ;1;Active;05-01-2026 16:37;
AID_20260105T163640323790Z_3WNFGL3SR5GO;0;Active;05-01-2026 16:37;
AID_20260105T163640402014Z_YVTWHRF2VVDH;1;Active;05-01-2026 16:37;
AID_20260105T163640481486Z_VZMMK4MMEZBA;0;Active;05-01-2026 16:37;
AID_20260105T163640557446Z_523CGMOJAVEO;1;Active;05-01-2026 16:37;
AID_20260105T163640636460Z_U5IWYDZZ65EL;1;Active;05-01-2026 16:37;
AID_20260105T163640712316Z_L5RIWOTGQNEU;0;Active;05-01-2026 16:37;
AID_20260105T163640789562Z_LOSWH6JFVNFE;0;Active;05-01-2026 16:37;
AID_20260105T163640873153Z_IHXBWPADDBC7;0;Active;05-01-2026 16:37;
AID_20260105T163640950118Z_KBLROED2YRBO;0;Active;05-01-2026 16:37;
