as_code;as_cx_wgs;as_cy_wgs;as_blx_wgs;as_bly_wgs;as_tlx_wgs;as_tly_wgs;as_trx_wgs;as_try_wgs;as_brx_wgs;as_bry_wgs;as_parent_oas
TGB101_500mX4189500000Y2987500000Z0;8.1698185307;49.9874389865;8.1664197846;49.9851358157;8.1662477724;49.9896299604;8.1732176007;49.9897420551;8.1733889598;49.9852478983;TGB101_1kmX4189000000Y2987000000Z0
TGB101_500mX4198000000Y2989500000Z0;8.2876616614;50.0072601736;8.2842558857;50.004960521;8.2840948265;50.009454839;8.2910677615;50.0095597235;8.2912281668;50.0050653942;TGB101_1kmX4198000000Y2989000000Z0
TGB101_500mX4175000000Y2987000000Z0;7.9679066146;49.9795151965;7.9645180974;49.9772060273;7.9643271949;49.9816998078;7.9712954553;49.9818242641;7.9714857052;49.9773304701;TGB101_1kmX4175000000Y2987000000Z0
TGB101_500mX4191500000Y2986500000Z0;8.1980348426;49.9788955167;8.1946353441;49.9765931806;8.194466024;49.9810873865;8.2014346649;49.9811977503;8.2016033322;49.9767035325;TGB101_1kmX4191000000Y2986000000Z0
TGB101_500mX4197500000Y2989500000Z0;8.2806890674;50.0071550813;8.2772836327;50.0048552209;8.2771219196;50.0093495275;8.2840948265;50.009454839;8.2842558857;50.004960521;TGB101_1kmX4197000000Y2989000000Z0
TGB101_500mX4199500000Y2990500000Z0;8.3082619953;50.0165615906;8.3048545804;50.0142625569;8.3046954081;50.0187568957;8.311669735;50.0188605216;8.311828253;50.0143661716;TGB101_1kmX4199000000Y2990000000Z0
TGB101_500mX4179000000Y2986000000Z0;8.0240217622;49.9715093418;8.0206311124;49.9692018324;8.0204455184;49.9736957324;8.0274127354;49.9738167494;8.027597677;49.9693228364;TGB101_1kmX4179000000Y2986000000Z0
TGB101_500mX4185500000Y2988500000Z0;8.1137095801;49.9955167132;8.110312956;49.9932118788;8.1101356362;49.9977059118;8.1171065281;49.9978214455;8.1172831946;49.9933274;TGB101_1kmX4185000000Y2988000000Z0
TGB101_500mX4196000000Y2999500000Z0;8.2564968084;50.0967215081;8.2530862289;50.0944209735;8.2529217827;50.0989151167;8.259907714;50.09902194;8.2600715033;50.0945277852;TGB101_1kmX4196000000Y2999000000Z0
TGB101_500mX4194500000Y2993500000Z0;8.2375303802;50.0424692985;8.2341245305;50.0401681711;8.2339585827;50.0446623565;8.2409365548;50.0447703233;8.2411018476;50.0402761262;TGB101_1kmX4194000000Y2993000000Z0
TGB101_500mX4186000000Y2980000000Z0;8.1236719661;49.9192321906;8.1202801907;49.9169276123;8.1201042274;49.9214217708;8.1270640642;49.9215366669;8.1272393768;49.917042496;TGB101_1kmX4186000000Y2980000000Z0
TGB101_500mX4195500000Y2989500000Z0;8.2527989737;50.0067304421;8.2493949034;50.0044297508;8.2492305749;50.0089240114;8.2562033684;50.0090310309;8.2563670431;50.0045367587;TGB101_1kmX4195000000Y2989000000Z0
TGB101_500mX4200000000Y2984500000Z0;8.3171316277;49.9627322618;8.3137275688;49.9604334637;8.3135694967;49.9649278919;8.3205360105;49.9650309571;8.3206934301;49.9605365177;TGB101_1kmX4200000000Y2984000000Z0
TGB101_500mX4196000000Y2988500000Z0;8.2600980733;49.9978486734;8.2566942771;49.9955481947;8.2565306793;50.00004248;8.2635021938;50.0001490495;8.2636651381;49.9956547527;TGB101_1kmX4196000000Y2988000000Z0
TGB101_500mX4169500000Y2986000000Z0;7.8916567881;49.9691331547;7.8882726517;49.9668217218;7.8880746641;49.9713153651;7.8950412477;49.9714444863;7.8952385831;49.9669508291;TGB101_1kmX4169000000Y2986000000Z0
TGB101_500mX4193000000Y2988500000Z0;8.2182714634;49.9972016073;8.214869714;49.994899883;8.2147021952;49.9993940983;8.2216735369;49.9995032291;8.2218404023;49.9950090021;TGB101_1kmX4193000000Y2988000000Z0
TGB101_500mX4203500000Y2990000000Z0;8.3642084624;50.0128824505;8.3607986306;50.0105850832;8.3606447286;50.0150795167;8.367618619;50.0151797149;8.3677718669;50.0106852705;TGB101_1kmX4203000000Y2990000000Z0
TGB101_500mX4196000000Y2990000000Z0;8.2596080876;50.0113315171;8.2562033684;50.0090310309;8.2560396553;50.0135252966;8.2630131313;50.0136319006;8.2631761904;50.0091376234;TGB101_1kmX4196000000Y2990000000Z0
TGB101_500mX4197500000Y2986000000Z0;8.2818178425;49.9756947355;8.2784145617;49.973394892;8.2782531142;49.9778892443;8.2852214472;49.9779944763;8.2853822419;49.9735001126;TGB101_1kmX4197000000Y2986000000Z0
TGB101_500mX4171000000Y2984000000Z0;7.9133381673;49.9515437573;7.9099542131;49.9492329574;7.909758366;49.9537266692;7.9167224444;49.9538544558;7.9169176399;49.9493607302;TGB101_1kmX4171000000Y2984000000Z0
