SOB_ID;DB_Status;SOB_as_code;SOB_ring;DB_Status_Date_Active;DB_Status_Date_Inactive
SOB_20260105T163218739773Z_3PHC4JIUXFBQ;Active;TGB101_10mX4194040000Y2985550000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218739915Z_ZPJQNKJSZNFV;Active;TGB101_10mX4209860000Y2987770000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218740068Z_RMXMEUM72RHG;Active;TGB101_10mX4193450000Y2991950000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218740211Z_I43SBKT5HZBI;Active;TGB101_10mX4196680000Y2983870000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218740356Z_N3NXB24Q5ZDW;Active;TGB101_10mX4194710000Y2987390000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218740501Z_UC4IKZBTQ5EA;Active;TGB101_10mX4194500000Y2986350000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218740645Z_BYUF35664FFA;Active;TGB101_10mX4197500000Y2984920000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218740795Z_DEMAAIFGG5HZ;Active;TGB101_10mX4199890000Y2984620000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218740940Z_REPDNX5LIBFN;Active;TGB101_10mX4181320000Y2986530000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218741089Z_SEGAKLQODNEI;Active;TGB101_10mX4195910000Y2989200000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218741229Z_I5U6LKVEV5FZ;Active;TGB101_10mX4194350000Y2989100000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218741384Z_X44DULTEXVFF;Active;TGB101_10mX4196720000Y2989040000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218741533Z_RQCMC42XYNEZ;Active;TGB101_10mX4193370000Y2989720000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218741676Z_GX7KWL3S3JCP;Active;TGB101_10mX4196500000Y2989950000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218741818Z_LI3FWNTWXJCR;Active;TGB101_10mX4196090000Y2990280000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218741960Z_YCMOHGKHN5CX;Active;TGB101_10mX4195930000Y2989730000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218742098Z_AK3XEASCUZE3;Active;TGB101_10mX4196230000Y2989480000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218742246Z_RQLZCIRG65BZ;Active;TGB101_10mX4196410000Y2989260000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218742396Z_R3HTMBRKRBHR;Active;TGB101_10mX4196810000Y2990000000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218742538Z_ZGRZCDYI6RFA;Active;TGB101_10mX4197120000Y2989030000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218742680Z_ELSPYT37KFDJ;Active;TGB101_10mX4195060000Y2985670000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218742826Z_PFRM5RVSONH6;Active;TGB101_10mX4192560000Y2988930000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218742977Z_QNXZRQ2I6VAA;Active;TGB101_10mX4196490000Y2989150000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218743217Z_ILWEFJ6ZXVCW;Active;TGB101_10mX4196570000Y2989080000Z0;0;2026-01-05 16:32:23;
